PRODUCT_ID,PRODUCT_GENDER,PRODUCT_WIDTH,PRODUCT_ID_NARROW,PRODUCT_ID_STANDARD,PRODUCT_ID_WIDE,PRODUCT_ID_EXTRAWIDE
ANA_1011B014-003,Male,Wide,,ANA_1011B012-410,ANA_1011B014-001,ANA_1011B011-001
ANA_1011B034-002,Male,Standard,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B034-002,Male,Standard,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B034-003,Male,Standard,,ANA_1011B034-003,,ANA_1011B041-003
ANA_1011B034-006,Male,Standard,,ANA_1011B034-006,,ANA_1011B041-002
ANA_1011B034-006,Male,Standard,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B034-010,Male,Standard,,ANA_1011B034-010,,ANA_1011B041-002
ANA_1011B034-020,Male,Standard,,ANA_1011B034-020,,ANA_1011B041-020
ANA_1011B034-020,Male,Standard,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B034-101,Male,Standard,,ANA_1011B034-101,,ANA_1011B041-101
ANA_1011B034-101,Male,Standard,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B034-300,Male,Standard,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B034-300,Male,Standard,,ANA_1011B034-300,,ANA_1011B041-002
ANA_1011B034-301,Male,Standard,,ANA_1011B034-301,,ANA_1011B041-301
ANA_1011B034-301,Male,Standard,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B034-401,Male,Standard,,ANA_1011B034-401,,ANA_1011B041-002
ANA_1011B034-401,Male,Standard,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B034-403,Male,Standard,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B034-403,Male,Standard,,ANA_1011B034-403,,ANA_1011B041-403
ANA_1011B036-002,Male,Standard,,ANA_1011B036-002,,ANA_1011B037-023
ANA_1011B036-002,Male,Standard,,ANA_1011B036-002,,ANA_1011B037-002
ANA_1011B036-009,Male,Standard,,ANA_1011B036-009,,ANA_1011B037-009
ANA_1011B036-023,Male,Standard,,ANA_1011B036-023,,ANA_1011B037-023
ANA_1011B036-026,Male,Standard,,ANA_1011B036-026,,ANA_1011B037-023
ANA_1011B036-026,Male,Standard,,ANA_1011B036-002,,ANA_1011B037-023
ANA_1011B036-403,Male,Standard,,ANA_1011B036-403,,ANA_1011B037-023
ANA_1011B036-403,Male,Standard,,ANA_1011B036-002,,ANA_1011B037-023
ANA_1011B036-415,Male,Standard,,ANA_1011B036-415,,ANA_1011B037-023
ANA_1011B037-002,Male,Extra Wide,,ANA_1011B036-002,,ANA_1011B037-002
ANA_1011B037-002,Male,Extra Wide,,ANA_1011B036-002,,ANA_1011B037-023
ANA_1011B037-009,Male,Extra Wide,,ANA_1011B036-009,,ANA_1011B037-009
ANA_1011B037-009,Male,Extra Wide,,ANA_1011B036-002,,ANA_1011B037-023
ANA_1011B037-023,Male,Extra Wide,,ANA_1011B036-023,,ANA_1011B037-023
ANA_1011B037-023,Male,Extra Wide,,ANA_1011B036-002,,ANA_1011B037-023
ANA_1011B039-001,Male,Extra Wide,,ANA_1011B040-001,,ANA_1011B039-001
ANA_1011B039-001,Male,Extra Wide,,ANA_1011B040-001,,ANA_1011B039-001
ANA_1011B039-002,Male,Extra Wide,,ANA_1011B040-002,,ANA_1011B039-002
ANA_1011B039-003,Male,Extra Wide,,ANA_1011B040-001,,ANA_1011B039-003
ANA_1011B039-020,Male,Extra Wide,,ANA_1011B040-020,,ANA_1011B039-020
ANA_1011B040-001,Male,Standard,,ANA_1011B040-001,,ANA_1011B039-001
ANA_1011B040-001,Male,Standard,,ANA_1011B040-001,,ANA_1011B039-001
ANA_1011B040-002,Male,Standard,,ANA_1011B040-002,,ANA_1011B039-002
ANA_1011B040-002,Male,Standard,,ANA_1011B040-001,,ANA_1011B039-001
ANA_1011B040-020,Male,Standard,,ANA_1011B040-020,,ANA_1011B039-020
ANA_1011B040-400,Male,Standard,,ANA_1011B040-400,,ANA_1011B039-001
ANA_1011B040-404,Male,Standard,,ANA_1011B040-404,,ANA_1011B039-001
ANA_1011B040-407,Male,Standard,,ANA_1011B040-407,,ANA_1011B039-001
ANA_1011B040-408,Male,Standard,,ANA_1011B040-408,,ANA_1011B039-001
ANA_1011B040-408,Male,Standard,,ANA_1011B040-001,,ANA_1011B039-001
ANA_1011B040-409,Male,Standard,,ANA_1011B040-409,,ANA_1011B039-001
ANA_1011B040-750,Male,Standard,,ANA_1011B040-750,,ANA_1011B039-001
ANA_1011B041-002,Male,Extra Wide,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B041-002,Male,Extra Wide,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B041-003,Male,Extra Wide,,ANA_1011B034-003,,ANA_1011B041-003
ANA_1011B041-003,Male,Extra Wide,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B041-010,Male,Extra Wide,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B041-020,Male,Extra Wide,,ANA_1011B034-020,,ANA_1011B041-020
ANA_1011B041-020,Male,Extra Wide,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B041-100,Male,Extra Wide,,ANA_1011B034-002,,ANA_1011B041-100
ANA_1011B041-100,Male,Extra Wide,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B041-101,Male,Extra Wide,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B041-101,Male,Extra Wide,,ANA_1011B034-101,,ANA_1011B041-101
ANA_1011B041-403,Male,Extra Wide,,ANA_1011B034-002,,ANA_1011B041-002
ANA_1011B041-403,Male,Extra Wide,,ANA_1011B034-403,,ANA_1011B041-403
ANA_1011B184-002,Male,Extra Wide,,ANA_1011B185-002,ANA_1011B186-002,ANA_1011B184-002
ANA_1011B184-002,Male,Extra Wide,,ANA_1011B185-001,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-001,Male,Standard,,ANA_1011B185-001,ANA_1011B186-001,ANA_1011B184-002
ANA_1011B185-001,Male,Standard,,ANA_1011B185-001,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-002,Male,Standard,,ANA_1011B185-002,ANA_1011B186-002,ANA_1011B184-002
ANA_1011B185-002,Male,Standard,,ANA_1011B185-001,ANA_1011B186-021,ANA_1011B184-002
ANA_1011B185-021,Male,Standard,,ANA_1011B185-021,ANA_1011B186-021,ANA_1011B184-002
